Restaurant State,Restaurant Name,Restaurant Rating,Restaurant Review
CO,Chiptole,3.5,84
CO,Chiptole,3.0,44
CO,Chiptole,3.5,25
CO,Chiptole,3.0,33
CO,Chiptole,3.5,39
CO,Chiptole,2.5,38
CO,Chiptole,3.0,48
CO,Chiptole,4.0,685
CO,Chiptole,4.0,38
CO,Chiptole,3.0,14
CO,Chiptole,3.5,286
CO,Chiptole,4.5,437
CO,Chiptole,3.5,38
CO,Chiptole,2.0,13
CO,Chiptole,2.0,17
CO,Chiptole,3.0,28
CO,Chiptole,3.0,258
CO,Subway,2.0,4
CO,Subway,2.5,9
CO,Subway,2.5,19
CO,Subway,2.5,4
CO,Subway,2.5,10
CO,Subway,3.0,14
CO,Subway,3.0,9
CO,Subway,1.5,6
CO,Subway,3.5,3
CO,Subway,2.5,4
CO,Subway,5.0,3
CO,Subway,2.5,9
CO,Subway,1.5,13
CO,Subway,2.5,13
CO,Subway,3.0,15
CO,Subway,3.5,5
CO,Subway,1.5,2
CO,Subway,2.5,17
CO,Subway,2.5,4
CO,Subway,1.5,11
CO,Noodles&Company,3.0,79
CO,Noodles&Company,3.0,109
CO,Noodles&Company,3.0,73
CO,Noodles&Company,2.5,43
CO,Noodles&Company,3.0,21
CO,Noodles&Company,2.5,81
CO,Noodles&Company,2.5,48
CO,Noodles&Company,2.0,52
CO,Noodles&Company,3.0,44
CO,Noodles&Company,2.0,61
CO,Noodles&Company,3.0,23
CO,Noodles&Company,3.0,60
CO,Noodles&Company,3.0,41
CO,Noodles&Company,3.0,25
CO,Noodles&Company,2.0,45
CO,Noodles&Company,2.0,54
CO,Noodles&Company,3.0,40
CO,Noodles&Company,2.5,42
CO,Noodles&Company,3.0,41
CO,Noodles&Company,5.0,1
CO,Panera,3.0,43
CO,Panera,2.5,131
CO,Panera,2.5,76
CO,Panera,3.0,93
CO,Panera,2.5,81
CO,Panera,2.5,73
CO,Panera,2.5,58
CO,Panera,2.5,67
CO,Panera,2.5,68
CO,Panera,3.0,79
CO,Panera,2.5,70
CO,Panera,2.5,49
CO,Panera,3.0,49
CO,Panera,3.0,49
CO,Panera,2.0,40
CO,Panera,2.0,42
CO,Panera,2.5,81
CO,Panera,3.0,52
CO,Panera,2.5,61
CO,Panera,3.5,67
DC,Chiptole,3.5,104
DC,Chiptole,3.0,86
DC,Chiptole,2.0,58
DC,Chiptole,3.0,32
DC,Chiptole,3.5,72
DC,Chiptole,3.0,111
DC,Chiptole,2.0,96
DC,Chiptole,2.0,97
DC,Chiptole,3.5,315
DC,Chiptole,3.0,91
DC,Chiptole,3.0,29
DC,Chiptole,3.5,43
DC,Chiptole,4.0,416
DC,Chiptole,3.0,124
DC,Chiptole,2.5,104
DC,Chiptole,3.0,99
DC,Chiptole,4.5,674
DC,Chiptole,2.5,81
DC,Chiptole,3.0,138
DC,Chiptole,1.5,39
DC,Subway,3.0,8
DC,Subway,2.0,1
DC,Subway,4.0,2
DC,Subway,3.5,6
DC,Subway,3.5,12
DC,Subway,2.0,18
DC,Subway,3.5,9
DC,Subway,2.0,17
DC,Subway,2.0,30
DC,Subway,3.0,18
DC,Subway,3.0,9
DC,Subway,3.5,8
DC,Subway,2.5,5
DC,Subway,2.5,4
DC,Subway,2.0,20
DC,Subway,2.5,10
DC,Subway,2.0,13
DC,Subway,2.0,19
DC,Subway,2.5,10
DC,Subway,1.0,3
DC,Noodles&Company,3.0,96
DC,Noodles&Company,3.5,81
DC,Noodles&Company,3.0,97
DC,Noodles&Company,2.5,62
DC,Noodles&Company,3.0,68
DC,Noodles&Company,3.0,20
DC,Noodles&Company,3.0,44
DC,Noodles&Company,3.0,28
DC,Noodles&Company,3.0,83
DC,Noodles&Company,3.0,67
DC,Noodles&Company,4.0,593
