Restaurant State,Restaurant Name,Restaurant Rating,Restaurant Review
CO,McDonalds,2.0,57
CO,McDonalds,1.5,44
CO,McDonalds,1.5,41
CO,McDonalds,2.0,47
CO,McDonalds,2.5,5
CO,McDonalds,2.0,13
CO,McDonalds,2.0,15
CO,McDonalds,2.5,11
CO,McDonalds,2.0,37
CO,McDonalds,2.0,8
CO,McDonalds,2.0,14
CO,McDonalds,1.5,22
CO,McDonalds,1.5,15
CO,McDonalds,2.0,32
CO,McDonalds,1.0,18
CO,McDonalds,1.5,17
CO,McDonalds,2.0,27
CO,McDonalds,2.5,6
CO,McDonalds,1.5,18
CO,McDonalds,2.0,15
CO,Wendys,1.5,32
CO,Wendys,2.0,34
CO,Wendys,3.0,12
CO,Wendys,2.5,20
CO,Wendys,1.5,12
CO,Wendys,2.0,16
CO,Wendys,3.0,19
CO,Wendys,1.5,17
CO,Wendys,2.0,16
CO,Wendys,3.0,12
CO,Wendys,1.5,8
CO,Wendys,3.0,28
CO,Wendys,1.5,13
CO,Wendys,2.0,14
CO,Wendys,1.5,15
CO,Wendys,2.0,24
CO,Wendys,2.5,13
CO,Wendys,2.0,13
CO,Wendys,1.5,23
CO,Wendys,2.0,11
CO,KFC,1.0,20
CO,KFC,2.0,33
CO,KFC,1.5,12
CO,KFC,2.5,34
CO,KFC,1.0,18
CO,KFC,1.5,24
CO,KFC,1.5,33
CO,KFC,1.5,13
CO,KFC,1.0,3
CO,KFC,2.0,5
CO,KFC,1.5,42
CO,KFC,1.5,12
CO,KFC,2.5,16
CO,KFC,1.5,11
CO,KFC,2.0,17
CO,KFC,1.5,39
CO,KFC,1.5,11
CO,KFC,1.5,26
CO,KFC,2.0,10
CO,KFC,1.5,26
CO,Burger King,1.5,34
CO,Burger King,1.5,38
CO,Burger King,1.5,12
CO,Burger King,1.5,14
CO,Burger King,2.0,14
CO,Burger King,2.0,6
CO,Burger King,2.0,17
CO,Burger King,1.5,18
CO,Burger King,3.0,19
CO,Burger King,1.5,16
CO,Burger King,2.0,7
CO,Burger King,2.0,13
CO,Burger King,1.0,32
CO,Burger King,1.0,13
CO,Burger King,1.5,2
CO,Burger King,1.0,18
CO,Burger King,2.0,15
CO,Burger King,1.0,11
