Restaurant State,Restaurant Name,Restaurant Rating,Restaurant Review
AL,Chiptole,3.0,206
AL,Subway,4.0,4
AL,Subway,1.0,2
AL,Subway,2.5,5
AL,Subway,4.0,5
AL,Subway,1.0,17
AL,Subway,4.0,1
AL,Subway,4.0,2
AL,Subway,3.5,2
AL,Subway,5.0,5
AL,Subway,5.0,1
AL,Subway,1.0,1
AL,Subway,3.5,2
AL,Subway,1.0,6
AL,Subway,4.0,3
AL,Subway,2.5,2
AL,Subway,4.0,3
AL,Subway,4.0,1
AL,Subway,4.5,2
AL,Subway,2.5,3
AL,Subway,1.0,5
AL,Noodles&Company,3.5,72
AL,Noodles&Company,4.0,252
AL,Noodles&Company,3.5,104
AL,Panera,4.0,31
AL,Panera,2.5,10
AL,Panera,3.0,48
AL,Panera,3.5,31
AL,Panera,3.0,16
AL,Panera,3.0,28
AL,Panera,3.5,19
AL,Panera,4.0,134
AL,Panera,3.5,60
AL,Panera,4.5,84
AL,Panera,4.0,94
AL,Panera,5.0,29
AL,Panera,4.5,106
AL,Panera,4.5,331
AL,Panera,4.0,27
AL,Panera,4.5,94
AL,Panera,4.5,15
AL,Panera,5.0,3
AL,Panera,5.0,5
AL,Panera,4.0,35
IA,Chiptole,3.0,19
IA,Subway,3.0,2
IA,Subway,2.5,5
IA,Subway,4.5,4
IA,Subway,4.0,1
IA,Subway,3.0,7
IA,Subway,3.0,1
IA,Subway,3.5,5
IA,Subway,3.5,4
IA,Subway,2.5,4
IA,Subway,4.5,2
IA,Subway,2.5,5
IA,Subway,3.0,2
IA,Subway,5.0,1
IA,Subway,1.5,2
IA,Subway,3.5,2
IA,Subway,1.5,3
IA,Subway,3.5,3
IA,Subway,2.5,6
IA,Subway,3.5,3
IA,Subway,4.0,133
IA,Noodles&Company,3.5,21
IA,Noodles&Company,4.0,12
IA,Noodles&Company,4.0,34
IA,Noodles&Company,4.0,23
IA,Noodles&Company,4.0,19
IA,Noodles&Company,4.5,122
IA,Panera,3.5,18
IA,Panera,2.5,15
IA,Panera,2.5,28
IA,Panera,3.5,21
IA,Panera,2.5,35
IA,Panera,4.5,151
IA,Panera,4.0,20
IA,Panera,3.5,154
IA,Panera,3.0,23
IA,Panera,4.5,13
IA,Panera,5.0,12
IA,Panera,4.5,6
IA,Panera,4.5,108
IA,Panera,4.0,7
IA,Panera,3.5,18
IA,Panera,4.5,6
IA,Panera,4.5,8
IA,Panera,4.5,22
IA,Panera,4.5,12
IA,Panera,4.0,135
OK,Chiptole,3.0,54
OK,Subway,2.5,7
OK,Subway,2.5,6
OK,Subway,2.5,2
OK,Subway,5.0,1
OK,Subway,4.0,5
OK,Subway,5.0,1
OK,Subway,2.0,2
OK,Subway,5.0,1
OK,Subway,1.5,2
OK,Subway,4.5,2
OK,Subway,5.0,1
OK,Subway,4.0,1
OK,Subway,5.0,1
OK,Subway,5.0,2
OK,Subway,3.0,1
OK,Subway,1.0,8
OK,Subway,5.0,1
OK,Subway,2.0,5
OK,Subway,4.0,1
OK,Subway,1.5,9
OK,Noodles&Company,4.5,515
OK,Noodles&Company,4.0,85
OK,Noodles&Company,4.5,62
OK,Noodles&Company,4.5,36
OK,Panera,3.0,66
OK,Panera,2.5,55
OK,Panera,3.0,37
OK,Panera,2.5,46
OK,Panera,3.0,42
OK,Panera,3.0,50
OK,Panera,2.5,47
OK,Panera,3.5,50
OK,Panera,4.5,63
OK,Panera,4.5,645
OK,Panera,4.0,73
OK,Panera,4.0,191
OK,Panera,4.0,48
OK,Panera,3.0,14
OK,Panera,4.0,69
OK,Panera,4.0,12
OK,Panera,3.0,46
OK,Panera,5.0,14
OK,Panera,4.0,21
OK,Panera,4.5,20
MS,Chiptole,3.0,6
MS,Subway,1.5,3
MS,Subway,4.0,1
MS,Subway,5.0,1
MS,Subway,4.0,1
MS,Subway,1.0,1
MS,Subway,1.0,1
MS,Subway,1.5,6
MS,Subway,3.5,2
MS,Subway,1.0,2
MS,Subway,1.0,1
MS,Subway,1.5,2
MS,Subway,5.0,1
MS,Subway,1.0,1
MS,Subway,2.0,5
MS,Subway,1.0,1
MS,Subway,3.5,2
MS,Subway,3.5,11
MS,Subway,3.0,20
MS,Subway,4.0,8
MS,Subway,4.0,2
MS,Panera,2.5,30
MS,Panera,2.5,39
MS,Panera,4.5,58
MS,Panera,3.0,41
MS,Panera,2.0,24
MS,Panera,2.0,9
MS,Panera,5.0,1
MS,Panera,4.0,21
MS,Panera,4.0,6
MS,Panera,5.0,2
MS,Panera,4.5,8
MS,Panera,4.0,14
MS,Panera,4.0,8
MS,Panera,4.5,15
MS,Panera,4.5,385
MS,Panera,4.0,64
