Restaurant State,Restaurant Name,Restaurant Rating,Restaurant Review
AL,McDonalds,1.5,8
AL,McDonalds,1.5,29
AL,McDonalds,1.5,31
AL,McDonalds,1.5,19
AL,McDonalds,1.5,18
AL,McDonalds,2.0,13
AL,McDonalds,1.0,3
AL,McDonalds,1.5,23
AL,McDonalds,1.5,18
AL,McDonalds,2.0,17
AL,McDonalds,2.0,4
AL,McDonalds,2.0,5
AL,McDonalds,1.0,2
AL,McDonalds,2.5,12
AL,McDonalds,1.5,7
AL,McDonalds,2.0,11
AL,McDonalds,1.0,6
AL,McDonalds,1.0,5
AL,McDonalds,2.5,2
AL,McDonalds,3.0,5
AL,Wendys,2.5,13
AL,Wendys,3.0,18
AL,Wendys,2.0,10
AL,Wendys,2.5,4
AL,Wendys,1.5,18
AL,Wendys,3.0,4
AL,Wendys,1.5,18
AL,Wendys,1.0,2
AL,Wendys,2.5,3
AL,Wendys,4.5,2
AL,Wendys,3.5,5
AL,Wendys,1.0,3
AL,Wendys,2.5,4
AL,Wendys,2.0,3
AL,Wendys,2.5,10
AL,Wendys,1.5,11
AL,Wendys,1.0,6
AL,Wendys,1.0,8
AL,Wendys,2.0,5
AL,Wendys,3.5,117
AL,KFC,1.5,3
AL,KFC,2.5,2
AL,KFC,1.5,5
AL,KFC,4.5,2
AL,KFC,1.0,1
AL,KFC,2.0,5
AL,KFC,1.0,1
AL,KFC,2.5,9
AL,KFC,1.5,4
AL,KFC,1.0,6
AL,KFC,1.0,2
AL,KFC,4.5,398
AL,KFC,4.5,208
AL,KFC,4.0,71
AL,KFC,3.5,27
AL,KFC,2.5,10
AL,KFC,5.0,5
AL,KFC,5.0,8
AL,KFC,3.5,10
AL,KFC,4.0,11
AL,Burger King,1.5,3
AL,Burger King,1.0,13
AL,Burger King,1.5,12
AL,Burger King,2.0,13
AL,Burger King,1.5,15
AL,Burger King,1.5,7
AL,Burger King,1.5,3
AL,Burger King,2.0,4
AL,Burger King,1.0,3
AL,Burger King,2.0,3
AL,Burger King,1.5,6
AL,Burger King,1.5,3
AL,Burger King,2.0,9
AL,Burger King,1.0,2
AL,Burger King,2.5,3
AL,Burger King,2.5,4
AL,Burger King,1.5,5
AL,Burger King,1.5,5
AL,Burger King,3.0,2
AL,Burger King,2.0,4
IA,McDonalds,3.0,3
IA,McDonalds,1.5,13
IA,McDonalds,2.5,13
IA,McDonalds,2.0,5
