Year,Location,Obesity Percentage,Rating Average
2017,WV,38.1,3.525
2017,MS,37.3,3.1707317073170733
2017,OK,36.5,3.6
2017,IA,36.4,3.595744680851064
2017,AL,36.3,3.534090909090909
2017,LA,36.2,3.10625
2017,AR,35.0,3.3658536585365852
2017,GU,34.3,3.4146341463414633
2017,KY,34.3,3.141509433962264
2017,AK,34.2,3.5853658536585367
2017,SC,34.1,3.3777777777777778
2017,OH,33.8,2.8661971830985915
2017,IN,33.6,3.1538461538461537
2017,ND,33.2,3.352272727272727
2017,TX,33.0,3.3846153846153846
2017,PR,32.9,3.630952380952381
2017,NE,32.8,3.0851063829787235
2017,TN,32.8,3.1555555555555554
2017,MO,32.5,3.0076923076923077
2017,KS,32.4,3.372093023255814
2017,MI,32.3,3.022727272727273
2017,NC,32.1,3.0258620689655173
2017,WI,32.0,3.1307692307692307
2017,SD,31.9,3.6904761904761907
2017,DE,31.8,3.16
2017,GA,31.6,3.075
2017,PA,31.6,3.20625
2017,MD,31.3,3.242857142857143
2017,IL,31.1,3.10625
2017,VA,30.1,3.517857142857143
2017,RI,30.0,3.605769230769231
2017,AZ,29.5,3.2125
2017,OR,29.4,3.2756410256410255
2017,ID,29.3,3.532608695652174
2017,ME,29.1,3.9130434782608696
2017,WY,28.8,3.193877551020408
2017,NM,28.4,3.40625
2017,FL,28.4,3.2285714285714286
2017,MN,28.4,2.888888888888889
2017,NH,28.1,3.5258620689655173
2017,WA,27.7,3.275
2017,VT,27.6,3.7738095238095237
2017,NJ,27.3,3.2875
2017,CT,26.9,3.5344827586206895
2017,NV,26.7,3.40625
2017,MA,25.9,3.10625
2017,NY,25.7,3.04375
2017,MT,25.3,3.875
2017,UT,25.3,3.2686567164179103
2017,CA,25.1,3.1595744680851063
2017,HI,23.8,3.721311475409836
2017,DC,23.0,2.95625
2017,CO,22.6,2.792207792207792
